STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
동화약품,-0.015,-0.068,-0.193,-0.039,-0.169,-0.787
KR모터스,0.047,0.078,0.153,-0.142,-0.784,-0.479
경방,0.022,0.032,0.027,-0.175,0.112,-0.304
메리츠화재,0.021,0.099,0.112,0.456,0.953,1.227
삼양홀딩스,0.017,0.01,0.111,-0.008,-0.088,-0.404
삼양홀딩스우,0.011,0.005,0.077,1.011,0.347,-0.333
하이트진로,0.037,0.067,0.095,0.283,0.755,0.83
하이트진로2우B,0.003,-0.012,-0.028,-0.004,0.025,-0.461
유한양행,-0.014,-0.056,-0.126,-0.177,-0.125,-0.619
유한양행우,-0.014,-0.05,-0.107,-0.108,0.039,-0.736
CJ대한통운,0.003,-0.037,-0.011,-0.201,-0.478,-0.443
하이트진로홀딩스,0.012,0.019,0.019,0.007,-0.155,-0.512
하이트진로홀딩스우,0.017,-0.003,-0.018,-0.141,0.238,-0.252
두산,0.004,-0.046,-0.091,-0.193,-0.465,-0.767
두산우,-0.01,-0.05,-0.097,0.29,0.114,-0.623
두산2우B,-0.004,-0.07,-0.169,-0.485,-0.677,-0.92
성창기업지주,0.022,0.032,0.072,0.363,0.717,0.082
DL,-0.048,-0.091,-0.058,-0.034,-0.38,-0.376
DL우,-0.029,-0.088,-0.174,-0.122,-0.843,-0.914
유유제약,0.011,-0.023,-0.097,-0.436,-0.254,-0.773
유유제약1우,-0.024,-0.05,-0.143,-0.203,-0.471,-0.681
유유제약2우B,-0.001,-0.01,-0.058,-0.375,-0.865,-0.936
일동홀딩스,-0.038,-0.097,-0.003,0.172,0.413,-0.339
한국앤컴퍼니,-0.023,-0.155,0.005,-0.466,-0.674,-0.48
삼천당제약,-0.097,-0.091,-0.17,0.735,0.961,-0.115
기아차,0.015,-0.036,0.073,0.01,-0.319,-0.116
대유플러스,-0.006,-0.015,0.009,-0.08,-0.566,-0.741
노루홀딩스,0.004,0.035,0.079,-0.112,-0.349,-0.596
노루홀딩스우,-0.016,-0.049,-0.093,-0.088,0.923,0.624
한화손해보험,0.025,0.072,0.047,0.121,0.202,0.001
삼화페인트,-0.027,-0.094,-0.112,-0.33,-0.576,-0.853
롯데손해보험,-0.001,-0.031,-0.061,-0.113,-0.395,-0.557
대원강업,-0.003,-0.032,0.007,-0.538,-0.793,-0.791
중앙에너비스,0.03,0.062,0.04,2.93,13.774,34.699
조선내화,-0.003,-0.003,-0.028,-0.385,-0.584,-0.721
대동공업,-0.01,-0.031,0.064,-0.208,-0.837,-0.714
가온전선,-0.015,-0.055,-0.081,0.584,-0.204,-0.467
삼일제약,-0.007,0.008,-0.006,-0.007,-0.562,-0.555
흥국화재,0.003,0.084,0.215,-0.08,0.722,1.481
흥국화재우,-0.009,-0.043,-0.121,-0.333,-0.519,-0.845
흥국화재2우B,0.0,0.001,-0.03,-0.32,-0.304,-0.696
